feature	gene_set
KIF5B	WHITFIELD_CELL_CYCLE_G2M
KLF9	WHITFIELD_CELL_CYCLE_G2M
KLHDC9	WHITFIELD_CELL_CYCLE_G2M
KMT5A	WHITFIELD_CELL_CYCLE_G2M
KMT5B	WHITFIELD_CELL_CYCLE_G2M
KNSTRN	WHITFIELD_CELL_CYCLE_G2M
LBR	WHITFIELD_CELL_CYCLE_G2M
LMNA	WHITFIELD_CELL_CYCLE_G2M
LPP	WHITFIELD_CELL_CYCLE_G2M
LRP8	WHITFIELD_CELL_CYCLE_G2M
LRRC17	WHITFIELD_CELL_CYCLE_G2M
MAPK13	WHITFIELD_CELL_CYCLE_G2M
MATN2	WHITFIELD_CELL_CYCLE_G2M
MCM4	WHITFIELD_CELL_CYCLE_G2M
MDC1	WHITFIELD_CELL_CYCLE_G2M
ME3	WHITFIELD_CELL_CYCLE_G2M
MIS18BP1	WHITFIELD_CELL_CYCLE_G2M
MKI67	WHITFIELD_CELL_CYCLE_G2M
MTCL2	WHITFIELD_CELL_CYCLE_G2M
MZT1	WHITFIELD_CELL_CYCLE_G2M
NCOA5	WHITFIELD_CELL_CYCLE_G2M
NDE1	WHITFIELD_CELL_CYCLE_G2M
NEK2	WHITFIELD_CELL_CYCLE_G2M
NUF2	WHITFIELD_CELL_CYCLE_G2M
NUP35	WHITFIELD_CELL_CYCLE_G2M
NUP98	WHITFIELD_CELL_CYCLE_G2M
NUSAP1	WHITFIELD_CELL_CYCLE_G2M
ODF2	WHITFIELD_CELL_CYCLE_G2M
OIT3	WHITFIELD_CELL_CYCLE_G2M
OLR1	WHITFIELD_CELL_CYCLE_G2M
PATJ	WHITFIELD_CELL_CYCLE_G2M
PBK	WHITFIELD_CELL_CYCLE_G2M
PCF11	WHITFIELD_CELL_CYCLE_G2M
PIK3CD	WHITFIELD_CELL_CYCLE_G2M
PIMREG	WHITFIELD_CELL_CYCLE_G2M
PLAG1	WHITFIELD_CELL_CYCLE_G2M
PLK1	WHITFIELD_CELL_CYCLE_G2M
POC1A	WHITFIELD_CELL_CYCLE_G2M
POM121	WHITFIELD_CELL_CYCLE_G2M
PPP1R10	WHITFIELD_CELL_CYCLE_G2M
PRPSAP1	WHITFIELD_CELL_CYCLE_G2M
PRR11	WHITFIELD_CELL_CYCLE_G2M
PRR5	WHITFIELD_CELL_CYCLE_G2M
PSMG3	WHITFIELD_CELL_CYCLE_G2M
PTGER3	WHITFIELD_CELL_CYCLE_G2M
PTP4A1	WHITFIELD_CELL_CYCLE_G2M
PTPN9	WHITFIELD_CELL_CYCLE_G2M
PYM1	WHITFIELD_CELL_CYCLE_G2M
QRICH1	WHITFIELD_CELL_CYCLE_G2M
RAD51C	WHITFIELD_CELL_CYCLE_G2M
RANGAP1	WHITFIELD_CELL_CYCLE_G2M
RASGEF1A	WHITFIELD_CELL_CYCLE_G2M
RBM8A	WHITFIELD_CELL_CYCLE_G2M
RCAN1	WHITFIELD_CELL_CYCLE_G2M
RCBTB2	WHITFIELD_CELL_CYCLE_G2M
RNF126	WHITFIELD_CELL_CYCLE_G2M
RNF141	WHITFIELD_CELL_CYCLE_G2M
RNPS1	WHITFIELD_CELL_CYCLE_G2M
RRP1	WHITFIELD_CELL_CYCLE_G2M
SAPCD2	WHITFIELD_CELL_CYCLE_G2M
SELENON	WHITFIELD_CELL_CYCLE_G2M
SFPQ	WHITFIELD_CELL_CYCLE_G2M
SGO2	WHITFIELD_CELL_CYCLE_G2M
SHCBP1	WHITFIELD_CELL_CYCLE_G2M
SLC17A2	WHITFIELD_CELL_CYCLE_G2M
SLC44A2	WHITFIELD_CELL_CYCLE_G2M
SMARCB1	WHITFIELD_CELL_CYCLE_G2M
SMARCD1	WHITFIELD_CELL_CYCLE_G2M
SMTN	WHITFIELD_CELL_CYCLE_G2M
SPAG5	WHITFIELD_CELL_CYCLE_G2M
SPDL1	WHITFIELD_CELL_CYCLE_G2M
SPTBN1	WHITFIELD_CELL_CYCLE_G2M
SRD5A1	WHITFIELD_CELL_CYCLE_G2M
SRSF3	WHITFIELD_CELL_CYCLE_G2M
SS18	WHITFIELD_CELL_CYCLE_G2M
STAT5B	WHITFIELD_CELL_CYCLE_G2M
TAB2	WHITFIELD_CELL_CYCLE_G2M
TFF3	WHITFIELD_CELL_CYCLE_G2M
TGIF1	WHITFIELD_CELL_CYCLE_G2M
THRAP3	WHITFIELD_CELL_CYCLE_G2M
TMCO4	WHITFIELD_CELL_CYCLE_G2M
TMEM138	WHITFIELD_CELL_CYCLE_G2M
TNFAIP8L1	WHITFIELD_CELL_CYCLE_G2M
TNPO1	WHITFIELD_CELL_CYCLE_G2M
TOMM34	WHITFIELD_CELL_CYCLE_G2M
TPX2	WHITFIELD_CELL_CYCLE_G2M
TRIP13	WHITFIELD_CELL_CYCLE_G2M
TSG101	WHITFIELD_CELL_CYCLE_G2M
TSKU	WHITFIELD_CELL_CYCLE_G2M
TSN	WHITFIELD_CELL_CYCLE_G2M
TTK	WHITFIELD_CELL_CYCLE_G2M
TUBB4B	WHITFIELD_CELL_CYCLE_G2M
TXNDC9	WHITFIELD_CELL_CYCLE_G2M
TXNRD1	WHITFIELD_CELL_CYCLE_G2M
USP13	WHITFIELD_CELL_CYCLE_G2M
USP16	WHITFIELD_CELL_CYCLE_G2M
VANGL1	WHITFIELD_CELL_CYCLE_G2M
WSB1	WHITFIELD_CELL_CYCLE_G2M
YWHAH	WHITFIELD_CELL_CYCLE_G2M
ZC3HC1	WHITFIELD_CELL_CYCLE_G2M
ZFX	WHITFIELD_CELL_CYCLE_G2M
ZMYM1	WHITFIELD_CELL_CYCLE_G2M
ZNF521	WHITFIELD_CELL_CYCLE_G2M
AURKA	WHITFIELD_CELL_CYCLE_LITERATURE
BIRC5	WHITFIELD_CELL_CYCLE_LITERATURE
BRCA1	WHITFIELD_CELL_CYCLE_LITERATURE
BRCA2	WHITFIELD_CELL_CYCLE_LITERATURE
BUB1	WHITFIELD_CELL_CYCLE_LITERATURE
BUB1B	WHITFIELD_CELL_CYCLE_LITERATURE
CCNA2	WHITFIELD_CELL_CYCLE_LITERATURE
CCNB1	WHITFIELD_CELL_CYCLE_LITERATURE
CCNB2	WHITFIELD_CELL_CYCLE_LITERATURE
CCNE1	WHITFIELD_CELL_CYCLE_LITERATURE
CCNE2	WHITFIELD_CELL_CYCLE_LITERATURE
CCNF	WHITFIELD_CELL_CYCLE_LITERATURE
CCNG2	WHITFIELD_CELL_CYCLE_LITERATURE
CDC20	WHITFIELD_CELL_CYCLE_LITERATURE
CDC25A	WHITFIELD_CELL_CYCLE_LITERATURE
CDC25B	WHITFIELD_CELL_CYCLE_LITERATURE
CDC25C	WHITFIELD_CELL_CYCLE_LITERATURE
CDC45	WHITFIELD_CELL_CYCLE_LITERATURE
CDC6	WHITFIELD_CELL_CYCLE_LITERATURE
CDK1	WHITFIELD_CELL_CYCLE_LITERATURE
CDKN1A	WHITFIELD_CELL_CYCLE_LITERATURE
CDKN2C	WHITFIELD_CELL_CYCLE_LITERATURE
CDKN2D	WHITFIELD_CELL_CYCLE_LITERATURE
CDKN3	WHITFIELD_CELL_CYCLE_LITERATURE
CENPA	WHITFIELD_CELL_CYCLE_LITERATURE
CENPF	WHITFIELD_CELL_CYCLE_LITERATURE
CKS2	WHITFIELD_CELL_CYCLE_LITERATURE
DHFR	WHITFIELD_CELL_CYCLE_LITERATURE
E2F1	WHITFIELD_CELL_CYCLE_LITERATURE
E2F5	WHITFIELD_CELL_CYCLE_LITERATURE
KIF20A	WHITFIELD_CELL_CYCLE_LITERATURE
MCM2	WHITFIELD_CELL_CYCLE_LITERATURE
MCM6	WHITFIELD_CELL_CYCLE_LITERATURE
MSH2	WHITFIELD_CELL_CYCLE_LITERATURE
NASP	WHITFIELD_CELL_CYCLE_LITERATURE
NPAT	WHITFIELD_CELL_CYCLE_LITERATURE
PCNA	WHITFIELD_CELL_CYCLE_LITERATURE
PLK1	WHITFIELD_CELL_CYCLE_LITERATURE
RACGAP1	WHITFIELD_CELL_CYCLE_LITERATURE
RRM1	WHITFIELD_CELL_CYCLE_LITERATURE
RRM2	WHITFIELD_CELL_CYCLE_LITERATURE
SLBP	WHITFIELD_CELL_CYCLE_LITERATURE
TOP2A	WHITFIELD_CELL_CYCLE_LITERATURE
TYMS	WHITFIELD_CELL_CYCLE_LITERATURE
AFAP1	WHITFIELD_CELL_CYCLE_MG1
AGFG1	WHITFIELD_CELL_CYCLE_MG1
AGPAT3	WHITFIELD_CELL_CYCLE_MG1
AKAP13	WHITFIELD_CELL_CYCLE_MG1
AMD1	WHITFIELD_CELL_CYCLE_MG1
ANP32E	WHITFIELD_CELL_CYCLE_MG1
ANTXR1	WHITFIELD_CELL_CYCLE_MG1
AOC2	WHITFIELD_CELL_CYCLE_MG1
AOC3	WHITFIELD_CELL_CYCLE_MG1
BTBD3	WHITFIELD_CELL_CYCLE_MG1
C3orf62	WHITFIELD_CELL_CYCLE_MG1
C4A	WHITFIELD_CELL_CYCLE_MG1
CBX3	WHITFIELD_CELL_CYCLE_MG1
CCND1	WHITFIELD_CELL_CYCLE_MG1
CCSAP	WHITFIELD_CELL_CYCLE_MG1
CD24	WHITFIELD_CELL_CYCLE_MG1
CDC42	WHITFIELD_CELL_CYCLE_MG1
CDK7	WHITFIELD_CELL_CYCLE_MG1
CDKN3	WHITFIELD_CELL_CYCLE_MG1
CEP20	WHITFIELD_CELL_CYCLE_MG1
CEP70	WHITFIELD_CELL_CYCLE_MG1
CNIH4	WHITFIELD_CELL_CYCLE_MG1
CRYBA1	WHITFIELD_CELL_CYCLE_MG1
CTR9	WHITFIELD_CELL_CYCLE_MG1
CWC15	WHITFIELD_CELL_CYCLE_MG1
CYTH3	WHITFIELD_CELL_CYCLE_MG1
DCP1A	WHITFIELD_CELL_CYCLE_MG1
DCTN6	WHITFIELD_CELL_CYCLE_MG1
DEXI	WHITFIELD_CELL_CYCLE_MG1
DKC1	WHITFIELD_CELL_CYCLE_MG1
DNAJB6	WHITFIELD_CELL_CYCLE_MG1
DSP	WHITFIELD_CELL_CYCLE_MG1
DYNLL1	WHITFIELD_CELL_CYCLE_MG1
ELP3	WHITFIELD_CELL_CYCLE_MG1
ENTREP3	WHITFIELD_CELL_CYCLE_MG1
FOXK2	WHITFIELD_CELL_CYCLE_MG1
FRS2	WHITFIELD_CELL_CYCLE_MG1
FXR1	WHITFIELD_CELL_CYCLE_MG1
GATA2	WHITFIELD_CELL_CYCLE_MG1
GDF15	WHITFIELD_CELL_CYCLE_MG1
GRPEL1	WHITFIELD_CELL_CYCLE_MG1
GSE1	WHITFIELD_CELL_CYCLE_MG1
GSPT1	WHITFIELD_CELL_CYCLE_MG1
H2BC21	WHITFIELD_CELL_CYCLE_MG1
HIF1A	WHITFIELD_CELL_CYCLE_MG1
HMG20B	WHITFIELD_CELL_CYCLE_MG1
HSPA8	WHITFIELD_CELL_CYCLE_MG1
IFIT1	WHITFIELD_CELL_CYCLE_MG1
IFIT2	WHITFIELD_CELL_CYCLE_MG1
ILF2	WHITFIELD_CELL_CYCLE_MG1
JMJD1C	WHITFIELD_CELL_CYCLE_MG1
KDM5B	WHITFIELD_CELL_CYCLE_MG1
KIAA0586	WHITFIELD_CELL_CYCLE_MG1
KPNB1	WHITFIELD_CELL_CYCLE_MG1
KRAS	WHITFIELD_CELL_CYCLE_MG1
LARP1	WHITFIELD_CELL_CYCLE_MG1
LARP7	WHITFIELD_CELL_CYCLE_MG1
LINC00641	WHITFIELD_CELL_CYCLE_MG1
LNP1	WHITFIELD_CELL_CYCLE_MG1
LRIF1	WHITFIELD_CELL_CYCLE_MG1
LYAR	WHITFIELD_CELL_CYCLE_MG1
MLLT6	WHITFIELD_CELL_CYCLE_MG1
MORF4L2	WHITFIELD_CELL_CYCLE_MG1
MRPL19	WHITFIELD_CELL_CYCLE_MG1
MRPS18B	WHITFIELD_CELL_CYCLE_MG1
MRPS2	WHITFIELD_CELL_CYCLE_MG1
MSL1	WHITFIELD_CELL_CYCLE_MG1
MTPN	WHITFIELD_CELL_CYCLE_MG1
NCOA3	WHITFIELD_CELL_CYCLE_MG1
NCS1	WHITFIELD_CELL_CYCLE_MG1
NFIA	WHITFIELD_CELL_CYCLE_MG1
NFIC	WHITFIELD_CELL_CYCLE_MG1
NOS1	WHITFIELD_CELL_CYCLE_MG1
NUCKS1	WHITFIELD_CELL_CYCLE_MG1
NUDCD2	WHITFIELD_CELL_CYCLE_MG1
NUDT4	WHITFIELD_CELL_CYCLE_MG1
NUFIP2	WHITFIELD_CELL_CYCLE_MG1
NUP37	WHITFIELD_CELL_CYCLE_MG1
ODF2	WHITFIELD_CELL_CYCLE_MG1
OPN3	WHITFIELD_CELL_CYCLE_MG1
PAK1IP1	WHITFIELD_CELL_CYCLE_MG1
PBK	WHITFIELD_CELL_CYCLE_MG1
PCF11	WHITFIELD_CELL_CYCLE_MG1
PLIN3	WHITFIELD_CELL_CYCLE_MG1
PLK2	WHITFIELD_CELL_CYCLE_MG1
PPP2CA	WHITFIELD_CELL_CYCLE_MG1
PPP2R2A	WHITFIELD_CELL_CYCLE_MG1
PPP6R3	WHITFIELD_CELL_CYCLE_MG1
PRC1	WHITFIELD_CELL_CYCLE_MG1
PSEN1	WHITFIELD_CELL_CYCLE_MG1
PTMS	WHITFIELD_CELL_CYCLE_MG1
PTTG1	WHITFIELD_CELL_CYCLE_MG1
RAB3A	WHITFIELD_CELL_CYCLE_MG1
RAD21	WHITFIELD_CELL_CYCLE_MG1
RHEB	WHITFIELD_CELL_CYCLE_MG1
RPL13A	WHITFIELD_CELL_CYCLE_MG1
SINHCAF	WHITFIELD_CELL_CYCLE_MG1
SLC39A10	WHITFIELD_CELL_CYCLE_MG1
SNHG16	WHITFIELD_CELL_CYCLE_MG1
SNUPN	WHITFIELD_CELL_CYCLE_MG1
SRSF3	WHITFIELD_CELL_CYCLE_MG1
TAF9	WHITFIELD_CELL_CYCLE_MG1
TCERG1	WHITFIELD_CELL_CYCLE_MG1
TICAM2	WHITFIELD_CELL_CYCLE_MG1
TLE3	WHITFIELD_CELL_CYCLE_MG1
TMEM138	WHITFIELD_CELL_CYCLE_MG1
TOB2	WHITFIELD_CELL_CYCLE_MG1
TOP1	WHITFIELD_CELL_CYCLE_MG1
TROAP	WHITFIELD_CELL_CYCLE_MG1
TSC22D1	WHITFIELD_CELL_CYCLE_MG1
TULP4	WHITFIELD_CELL_CYCLE_MG1
UBE2D3	WHITFIELD_CELL_CYCLE_MG1
USP6NL	WHITFIELD_CELL_CYCLE_MG1
VANGL1	WHITFIELD_CELL_CYCLE_MG1
VCL	WHITFIELD_CELL_CYCLE_MG1
VPS37C	WHITFIELD_CELL_CYCLE_MG1
WIPF2	WHITFIELD_CELL_CYCLE_MG1
WWC1	WHITFIELD_CELL_CYCLE_MG1
XPO4	WHITFIELD_CELL_CYCLE_MG1
YY1	WHITFIELD_CELL_CYCLE_MG1
ZCCHC10	WHITFIELD_CELL_CYCLE_MG1
ZFAS1	WHITFIELD_CELL_CYCLE_MG1
ZNF24	WHITFIELD_CELL_CYCLE_MG1
ZNFX1	WHITFIELD_CELL_CYCLE_MG1
ZPBP	WHITFIELD_CELL_CYCLE_MG1
ZSCAN5A	WHITFIELD_CELL_CYCLE_MG1
ABCA5	WHITFIELD_CELL_CYCLE_S
ABCC2	WHITFIELD_CELL_CYCLE_S
ABCC5	WHITFIELD_CELL_CYCLE_S
ABHD10	WHITFIELD_CELL_CYCLE_S
ACAP3	WHITFIELD_CELL_CYCLE_S
ADAM22	WHITFIELD_CELL_CYCLE_S
ADGRG6	WHITFIELD_CELL_CYCLE_S
ANKRD18A	WHITFIELD_CELL_CYCLE_S
ANKRD36	WHITFIELD_CELL_CYCLE_S
ANKRD36C	WHITFIELD_CELL_CYCLE_S
ARHGAP42	WHITFIELD_CELL_CYCLE_S
ASF1B	WHITFIELD_CELL_CYCLE_S
ASIP	WHITFIELD_CELL_CYCLE_S
ATAD2	WHITFIELD_CELL_CYCLE_S
ATOSA	WHITFIELD_CELL_CYCLE_S
BBS2	WHITFIELD_CELL_CYCLE_S
BIVM	WHITFIELD_CELL_CYCLE_S
BLM	WHITFIELD_CELL_CYCLE_S
BMI1	WHITFIELD_CELL_CYCLE_S
BRCA1	WHITFIELD_CELL_CYCLE_S
BRIP1	WHITFIELD_CELL_CYCLE_S
CALD1	WHITFIELD_CELL_CYCLE_S
CAPS	WHITFIELD_CELL_CYCLE_S
CASP2	WHITFIELD_CELL_CYCLE_S
CCDC14	WHITFIELD_CELL_CYCLE_S
CCDC150	WHITFIELD_CELL_CYCLE_S
CDC45	WHITFIELD_CELL_CYCLE_S
CDC7	WHITFIELD_CELL_CYCLE_S
CDCA5	WHITFIELD_CELL_CYCLE_S
CDH24	WHITFIELD_CELL_CYCLE_S
CDKN2AIP	WHITFIELD_CELL_CYCLE_S
CENATAC	WHITFIELD_CELL_CYCLE_S
CENPM	WHITFIELD_CELL_CYCLE_S
CENPQ	WHITFIELD_CELL_CYCLE_S
CENPU	WHITFIELD_CELL_CYCLE_S
CERS6	WHITFIELD_CELL_CYCLE_S
COL7A1	WHITFIELD_CELL_CYCLE_S
COQ9	WHITFIELD_CELL_CYCLE_S
CPLANE1	WHITFIELD_CELL_CYCLE_S
CPNE8	WHITFIELD_CELL_CYCLE_S
CREBZF	WHITFIELD_CELL_CYCLE_S
DCAF16	WHITFIELD_CELL_CYCLE_S
DCUN1D3	WHITFIELD_CELL_CYCLE_S
DDIAS	WHITFIELD_CELL_CYCLE_S
DEPDC7	WHITFIELD_CELL_CYCLE_S
DHFR	WHITFIELD_CELL_CYCLE_S
DMXL2	WHITFIELD_CELL_CYCLE_S
DNA2	WHITFIELD_CELL_CYCLE_S
DNAJB4	WHITFIELD_CELL_CYCLE_S
DNAJC6	WHITFIELD_CELL_CYCLE_S
DONSON	WHITFIELD_CELL_CYCLE_S
DSCC1	WHITFIELD_CELL_CYCLE_S
E2F8	WHITFIELD_CELL_CYCLE_S
EFHC1	WHITFIELD_CELL_CYCLE_S
EIF4EBP2	WHITFIELD_CELL_CYCLE_S
ESCO2	WHITFIELD_CELL_CYCLE_S
EXO1	WHITFIELD_CELL_CYCLE_S
EZH2	WHITFIELD_CELL_CYCLE_S
FANCA	WHITFIELD_CELL_CYCLE_S
FEN1	WHITFIELD_CELL_CYCLE_S
GCLM	WHITFIELD_CELL_CYCLE_S
GOLGA6L4	WHITFIELD_CELL_CYCLE_S
GOLGA8A	WHITFIELD_CELL_CYCLE_S
GOLGA8B	WHITFIELD_CELL_CYCLE_S
H1-0	WHITFIELD_CELL_CYCLE_S
H2AC17	WHITFIELD_CELL_CYCLE_S
H2AC6	WHITFIELD_CELL_CYCLE_S
H2BC4	WHITFIELD_CELL_CYCLE_S
H4C2	WHITFIELD_CELL_CYCLE_S
H4C3	WHITFIELD_CELL_CYCLE_S
H4C8	WHITFIELD_CELL_CYCLE_S
HAUS5	WHITFIELD_CELL_CYCLE_S
HELLS	WHITFIELD_CELL_CYCLE_S
HSPB8	WHITFIELD_CELL_CYCLE_S
IFIT1	WHITFIELD_CELL_CYCLE_S
INSIG2	WHITFIELD_CELL_CYCLE_S
INTS7	WHITFIELD_CELL_CYCLE_S
KAT2B	WHITFIELD_CELL_CYCLE_S
KIFC2	WHITFIELD_CELL_CYCLE_S
KLHL23	WHITFIELD_CELL_CYCLE_S
LINC00339	WHITFIELD_CELL_CYCLE_S
LIPH	WHITFIELD_CELL_CYCLE_S
LOC389831	WHITFIELD_CELL_CYCLE_S
LYRM7	WHITFIELD_CELL_CYCLE_S
MAN1A2	WHITFIELD_CELL_CYCLE_S
MAP3K2	WHITFIELD_CELL_CYCLE_S
MASTL	WHITFIELD_CELL_CYCLE_S
MBD4	WHITFIELD_CELL_CYCLE_S
MCM8	WHITFIELD_CELL_CYCLE_S
MEGF9	WHITFIELD_CELL_CYCLE_S
MITF	WHITFIELD_CELL_CYCLE_S
MYCBP2	WHITFIELD_CELL_CYCLE_S
NAB1	WHITFIELD_CELL_CYCLE_S
NEAT1	WHITFIELD_CELL_CYCLE_S
NFE2L2	WHITFIELD_CELL_CYCLE_S
NRDC	WHITFIELD_CELL_CYCLE_S
NT5DC1	WHITFIELD_CELL_CYCLE_S
NUP160	WHITFIELD_CELL_CYCLE_S
OGT	WHITFIELD_CELL_CYCLE_S
ORC3	WHITFIELD_CELL_CYCLE_S
OSER1	WHITFIELD_CELL_CYCLE_S
OSGIN2	WHITFIELD_CELL_CYCLE_S
PCLAF	WHITFIELD_CELL_CYCLE_S
PHIP	WHITFIELD_CELL_CYCLE_S
PHTF2	WHITFIELD_CELL_CYCLE_S
PKMYT1	WHITFIELD_CELL_CYCLE_S
POGLUT2	WHITFIELD_CELL_CYCLE_S
PRIM1	WHITFIELD_CELL_CYCLE_S
PRIM2	WHITFIELD_CELL_CYCLE_S
PTAR1	WHITFIELD_CELL_CYCLE_S
RAD18	WHITFIELD_CELL_CYCLE_S
RAD51	WHITFIELD_CELL_CYCLE_S
RAD51AP1	WHITFIELD_CELL_CYCLE_S
RAD54L	WHITFIELD_CELL_CYCLE_S
RBBP8	WHITFIELD_CELL_CYCLE_S
REEP1	WHITFIELD_CELL_CYCLE_S
RFC2	WHITFIELD_CELL_CYCLE_S
RFC4	WHITFIELD_CELL_CYCLE_S
RHOBTB3	WHITFIELD_CELL_CYCLE_S
RHPN1	WHITFIELD_CELL_CYCLE_S
RPA2	WHITFIELD_CELL_CYCLE_S
RRM1	WHITFIELD_CELL_CYCLE_S
RRM2	WHITFIELD_CELL_CYCLE_S
RSRC2	WHITFIELD_CELL_CYCLE_S
SAP30BP	WHITFIELD_CELL_CYCLE_S
SH3GL2	WHITFIELD_CELL_CYCLE_S
SHC1	WHITFIELD_CELL_CYCLE_S
SHTN1	WHITFIELD_CELL_CYCLE_S
SLC22A3	WHITFIELD_CELL_CYCLE_S
SLC25A27	WHITFIELD_CELL_CYCLE_S
SLC38A2	WHITFIELD_CELL_CYCLE_S
SLC9A3-AS1	WHITFIELD_CELL_CYCLE_S
SLF2	WHITFIELD_CELL_CYCLE_S
SP1	WHITFIELD_CELL_CYCLE_S
SRSF10	WHITFIELD_CELL_CYCLE_S
SRSF5	WHITFIELD_CELL_CYCLE_S
STAG3L1	WHITFIELD_CELL_CYCLE_S
SVIP	WHITFIELD_CELL_CYCLE_S
TMCC1	WHITFIELD_CELL_CYCLE_S
TOP2A	WHITFIELD_CELL_CYCLE_S
TRIM45	WHITFIELD_CELL_CYCLE_S
TTC31	WHITFIELD_CELL_CYCLE_S
TTLL7	WHITFIELD_CELL_CYCLE_S
TYMS	WHITFIELD_CELL_CYCLE_S
UBE2T	WHITFIELD_CELL_CYCLE_S
UBL3	WHITFIELD_CELL_CYCLE_S
USP1	WHITFIELD_CELL_CYCLE_S
ZBED5	WHITFIELD_CELL_CYCLE_S
ZNF217	WHITFIELD_CELL_CYCLE_S
ZWINT	WHITFIELD_CELL_CYCLE_S
