feature	gene_set
ACYP1	WHITFIELD_CELL_CYCLE_G1S
ADAMTS1	WHITFIELD_CELL_CYCLE_G1S
ADCK2	WHITFIELD_CELL_CYCLE_G1S
ADCY6	WHITFIELD_CELL_CYCLE_G1S
ANKRD10	WHITFIELD_CELL_CYCLE_G1S
AP3M2	WHITFIELD_CELL_CYCLE_G1S
AP4B1	WHITFIELD_CELL_CYCLE_G1S
APEX2	WHITFIELD_CELL_CYCLE_G1S
ARGLU1	WHITFIELD_CELL_CYCLE_G1S
ATAD2	WHITFIELD_CELL_CYCLE_G1S
BAIAP2	WHITFIELD_CELL_CYCLE_G1S
BARD1	WHITFIELD_CELL_CYCLE_G1S
BRD7	WHITFIELD_CELL_CYCLE_G1S
CAPN7	WHITFIELD_CELL_CYCLE_G1S
CASP2	WHITFIELD_CELL_CYCLE_G1S
CASP8AP2	WHITFIELD_CELL_CYCLE_G1S
CCDC180	WHITFIELD_CELL_CYCLE_G1S
CCNE1	WHITFIELD_CELL_CYCLE_G1S
CCNE2	WHITFIELD_CELL_CYCLE_G1S
CDC25A	WHITFIELD_CELL_CYCLE_G1S
CDC6	WHITFIELD_CELL_CYCLE_G1S
CDCA7	WHITFIELD_CELL_CYCLE_G1S
CDCA7L	WHITFIELD_CELL_CYCLE_G1S
CDK20	WHITFIELD_CELL_CYCLE_G1S
CHAF1A	WHITFIELD_CELL_CYCLE_G1S
CHAF1B	WHITFIELD_CELL_CYCLE_G1S
CLSPN	WHITFIELD_CELL_CYCLE_G1S
CREBZF	WHITFIELD_CELL_CYCLE_G1S
CTSD	WHITFIELD_CELL_CYCLE_G1S
DDX12P	WHITFIELD_CELL_CYCLE_G1S
DENND11	WHITFIELD_CELL_CYCLE_G1S
DHFR2	WHITFIELD_CELL_CYCLE_G1S
DIS3	WHITFIELD_CELL_CYCLE_G1S
DNAJC3	WHITFIELD_CELL_CYCLE_G1S
DSCC1	WHITFIELD_CELL_CYCLE_G1S
DTL	WHITFIELD_CELL_CYCLE_G1S
E2F1	WHITFIELD_CELL_CYCLE_G1S
E2F2	WHITFIELD_CELL_CYCLE_G1S
EIF2A	WHITFIELD_CELL_CYCLE_G1S
ESD	WHITFIELD_CELL_CYCLE_G1S
FAM111B	WHITFIELD_CELL_CYCLE_G1S
FANCG	WHITFIELD_CELL_CYCLE_G1S
FBXL20	WHITFIELD_CELL_CYCLE_G1S
FLAD1	WHITFIELD_CELL_CYCLE_G1S
GINS2	WHITFIELD_CELL_CYCLE_G1S
GINS3	WHITFIELD_CELL_CYCLE_G1S
GMNN	WHITFIELD_CELL_CYCLE_G1S
